Company,Contact Name,Email,Phone,Website,Tier,Type,Vertical,Notes,Source
FIMA Santiago - Santiago,Director,info@fima.cl,+56 2 2922 4000,fima.cl,2,Human Rights,Chile,Environmental justice CT,websearch_2026_hr_world
Corporacion Humanas Santiago - Santiago,Director,info@humanas.cl,+56 2 2922 4100,humanas.cl,3,Human Rights,Chile,Humanas corp CT,websearch_2026_hr_world
Dejusticia Bogota - Bogota,Director,info@dejusticia.org,+57 1 426 3500,dejusticia.org,2,Human Rights,Colombia,Law justice society CT,websearch_2026_hr_world
CCEEU Bogota - Bogota,Coordinator,info@cceeuropa.org.co,+57 1 426 3600,cceeuropa.org.co,2,Human Rights,Colombia,Europe coordination CT,websearch_2026_hr_world
MOVICE Medellin - Medellin,Coordinator,info@movice.org,+57 4 515 3400,movice.org,3,Human Rights,Colombia,Victims movement CT,websearch_2026_hr_world
Cinep Bogota - Bogota,Director,info@cinep.org.co,+57 1 426 3700,cinep.org.co,2,Human Rights,Colombia,Research education CT,websearch_2026_hr_world
ILSA Bogota - Bogota,Director,info@ilsa.org.co,+57 1 426 3800,ilsa.org.co,2,Human Rights,Colombia,Alternative legal CT,websearch_2026_hr_world
CCJ Bogota - Bogota,Director,info@coljuristas.org,+57 1 426 3900,coljuristas.org,2,Human Rights,Colombia,Jurists commission CT,websearch_2026_hr_world
Sisma Mujer Bogota - Bogota,Director,info@sismamujer.org,+57 1 426 4000,sismamujer.org,3,Human Rights,Colombia,Women alliance CT,websearch_2026_hr_world
Caribe Afirmativo Barranquilla - Barranquilla,Director,info@caribeafirmativo.lgbt,+57 5 385 3100,caribeafirmativo.lgbt,3,Human Rights,Colombia,Caribbean LGBTQ CT,websearch_2026_hr_world
Aprodeh Lima - Lima,Director,info@aprodeh.org.pe,+51 1 201 3600,aprodeh.org.pe,2,Human Rights,Peru,Pro HR assoc CT,websearch_2026_hr_world
IDL Lima - Lima,Director,info@idl.org.pe,+51 1 201 3700,idl.org.pe,2,Human Rights,Peru,Legal defense CT,websearch_2026_hr_world
Coordinadora DDHH Lima - Lima,Coordinator,info@cnddhh.org.pe,+51 1 201 3800,cnddhh.org.pe,2,Human Rights,Peru,Rights coordinator CT,websearch_2026_hr_world
Flora Tristan Lima - Lima,Director,info@flora.org.pe,+51 1 201 3900,flora.org.pe,3,Human Rights,Peru,Women center CT,websearch_2026_hr_world
Manuela Ramos Lima - Lima,Director,info@manuela.org.pe,+51 1 201 4000,manuela.org.pe,3,Human Rights,Peru,Women movement CT,websearch_2026_hr_world
Paz y Esperanza Lima - Lima,Director,info@pazyesperanza.org,+51 1 201 4100,pazyesperanza.org,3,Human Rights,Peru,Peace hope CT,websearch_2026_hr_world
PROVEA Caracas - Caracas,Coordinator,info@provea.org,+58 212 505 3400,provea.org,2,Human Rights,Venezuela,Education action CT,websearch_2026_hr_world
Espacio Publico Caracas - Caracas,Director,info@espaciopublico.org,+58 212 505 3500,espaciopublico.org,2,Human Rights,Venezuela,Public space CT,websearch_2026_hr_world
Foro Penal Caracas - Caracas,Director,info@foropenal.org,+58 212 505 3600,foropenal.org,2,Human Rights,Venezuela,Penal forum CT,websearch_2026_hr_world
CEPAZ Caracas - Caracas,Director,info@cepaz.org,+58 212 505 3700,cepaz.org,3,Human Rights,Venezuela,Peace center CT,websearch_2026_hr_world
Acceso a la Justicia Caracas - Caracas,Director,info@accesoalajusticia.org,+58 212 505 3800,accesoalajusticia.org,2,Human Rights,Venezuela,Justice access CT,websearch_2026_hr_world
CEDHU Quito - Quito,Director,info@cedhu.org,+593 2 382 3500,cedhu.org,2,Human Rights,Ecuador,Ecumenical HR CT,websearch_2026_hr_world
Fundamedios Quito - Quito,Director,info@fundamedios.org,+593 2 382 3600,fundamedios.org,2,Human Rights,Ecuador,Media freedom CT,websearch_2026_hr_world
Surkuna Quito - Quito,Director,info@surkuna.org,+593 2 382 3700,surkuna.org,3,Human Rights,Ecuador,Amazon women CT,websearch_2026_hr_world
Amazon Frontlines Quito - Quito,Director,info@amazonfrontlines.org,+593 2 382 3800,amazonfrontlines.org,3,Human Rights,Ecuador,Amazon defenders CT,websearch_2026_hr_world
APDHB La Paz - La Paz,President,info@apdhb.org.bo,+591 2 215 3400,apdhb.org.bo,2,Human Rights,Bolivia,Permanent assembly CT,websearch_2026_hr_world
CEDIB Cochabamba - Cochabamba,Director,info@cedib.org,+591 4 425 3100,cedib.org,2,Human Rights,Bolivia,Docs information CT,websearch_2026_hr_world
Fundacion Construir La Paz - La Paz,Director,info@fundacionconstruir.org,+591 2 215 3500,fundacionconstruir.org,2,Human Rights,Bolivia,Build foundation CT,websearch_2026_hr_world
TEDIC Asuncion - Asuncion,Director,info@tedic.org,+595 21 454 3400,tedic.org,2,Human Rights,Paraguay,Tech rights CT,websearch_2026_hr_world
Semillas Paraguay Asuncion - Asuncion,Director,info@semillas.org.py,+595 21 454 3500,semillas.org.py,3,Human Rights,Paraguay,Seeds Paraguay CT,websearch_2026_hr_world
Ielsur Montevideo - Montevideo,Director,info@ielsur.org.uy,+598 2 194 3300,ielsur.org.uy,2,Human Rights,Uruguay,Legal social CT,websearch_2026_hr_world
CNS Mujeres Montevideo - Montevideo,Coordinator,info@cnsmujeres.org.uy,+598 2 194 3400,cnsmujeres.org.uy,3,Human Rights,Uruguay,Women council CT,websearch_2026_hr_world
Geledes Sao Paulo - Sao Paulo,Coordinator,info@geledes.org.br,+55 11 3884 3400,geledes.org.br,3,Human Rights,Brazil,Black women CT,websearch_2026_hr_world
Criola Rio de Janeiro - Rio de Janeiro,Coordinator,info@criola.org.br,+55 21 2544 3500,criola.org.br,3,Human Rights,Brazil,Black women Rio CT,websearch_2026_hr_world
Odara Salvador - Salvador,Coordinator,info@odara.org.br,+55 71 3117 3400,odara.org.br,3,Human Rights,Brazil,Black women Bahia CT,websearch_2026_hr_world
Koinonia Rio de Janeiro - Rio de Janeiro,Director,info@koinonia.org.br,+55 21 2544 3600,koinonia.org.br,2,Human Rights,Brazil,Ecumenical service CT,websearch_2026_hr_world
Fase Rio de Janeiro - Rio de Janeiro,Director,info@fase.org.br,+55 21 2544 3700,fase.org.br,2,Human Rights,Brazil,Solidarity education CT,websearch_2026_hr_world
ISA Sao Paulo - Sao Paulo,Director,info@socioambiental.org,+55 11 3884 3500,socioambiental.org,2,Human Rights,Brazil,Socioenvironmental CT,websearch_2026_hr_world
CTI Brasilia - Brasilia,Director,info@cti.org.br,+55 61 2025 3200,cti.org.br,2,Human Rights,Brazil,Indigenist work CT,websearch_2026_hr_world
Imazon Belem - Belem,Director,info@imazon.org.br,+55 91 3214 3200,imazon.org.br,2,Human Rights,Brazil,Amazon institute CT,websearch_2026_hr_world
Saude e Alegria Santarem - Santarem,Coordinator,info@saudeealegria.org.br,+55 93 3523 3100,saudeealegria.org.br,3,Human Rights,Brazil,Health joy CT,websearch_2026_hr_world
Themis Porto Alegre - Porto Alegre,Director,info@themis.org.br,+55 51 3288 3300,themis.org.br,2,Human Rights,Brazil,Feminist legal CT,websearch_2026_hr_world
Cepia Rio de Janeiro - Rio de Janeiro,Director,info@cepia.org.br,+55 21 2544 3800,cepia.org.br,3,Human Rights,Brazil,Citizenship studies CT,websearch_2026_hr_world
Uneafro Brasil Sao Paulo - Sao Paulo,Coordinator,info@uneafrobrasil.org,+55 11 3884 3600,uneafrobrasil.org,3,Human Rights,Brazil,Black youth CT,websearch_2026_hr_world
JFJ Kingston - Kingston,Coordinator,info@jfj.org.jm,+1 876-922 3200,jfj.org.jm,2,Human Rights,Jamaica,Justice forum CT,websearch_2026_hr_world
RNDDH Port-au-Prince - Port-au-Prince,Director,info@rnddh.org,+509 2811 3200,rnddh.org,2,Human Rights,Haiti,Rights network CT,websearch_2026_hr_world
Colectiva Mujer Santo Domingo - Santo Domingo,Coordinator,info@colectivamujer.org.do,+1 809-695 3400,colectivamujer.org.do,3,Human Rights,Dominican Republic,Women collective CT,websearch_2026_hr_world
Kilometro 0 San Juan - San Juan,Director,info@kilometro0.org,+1 787-782 3200,kilometro0.org,2,Human Rights,Puerto Rico,Anti-abuse CT,websearch_2026_hr_world
CAISO Port of Spain - Port of Spain,Coordinator,info@caiso.org.tt,+1 868-624 3200,caiso.org.tt,3,Human Rights,Trinidad and Tobago,LGBTQ coalition CT,websearch_2026_hr_world
ECADE Castries - Castries,Coordinator,info@ecade.org,+1 758-452 3100,ecade.org,3,Human Rights,Saint Lucia,Eastern Caribbean CT,websearch_2026_hr_world
United Belize Belmopan - Belmopan,Coordinator,info@unitedbelize.org,+501 822 3100,unitedbelize.org,3,Human Rights,Belize,Belize rights CT,websearch_2026_hr_world
Groundation Grenada St Georges - St Georges,Coordinator,info@groundationgrenada.org,+1 473-440 3100,groundationgrenada.org,3,Human Rights,Grenada,Grenada rights CT,websearch_2026_hr_world
Fair Fight Atlanta - Atlanta,Founder,info@fairfight.org,+1 404-555-3200,fairfight.org,2,Human Rights,USA,Voting rights CT,websearch_2026_hr_world
Black Voters Matter Atlanta - Atlanta,Director,info@blackvotersmatter.org,+1 404-555-3300,blackvotersmatter.org,2,Human Rights,USA,Black voters CT,websearch_2026_hr_world
Color of Change Oakland - Oakland,President,info@colorofchange.org,+1 510-555-3100,colorofchange.org,2,Human Rights,USA,Racial justice CT,websearch_2026_hr_world
Equal Justice Works Washington DC - Washington DC,President,info@ejw.org,+1 202-555-3300,ejw.org,2,Human Rights,USA,Equal justice CT,websearch_2026_hr_world
Native American Rights Fund Boulder - Boulder,Director,info@narf.org,+1 303-447-3100,narf.org,2,Human Rights,USA,Native rights CT,websearch_2026_hr_world
NDN Collective Rapid City - Rapid City,Director,info@ndncollective.org,+1 605-555-3100,ndncollective.org,2,Human Rights,USA,Indigenous power CT,websearch_2026_hr_world
IllumiNative Tulsa - Tulsa,Director,info@illuminative.org,+1 918-555-3100,illuminative.org,3,Human Rights,USA,Native visibility CT,websearch_2026_hr_world
UnidosUS Washington DC - Washington DC,President,info@unidosus.org,+1 202-555-3400,unidosus.org,2,Human Rights,USA,Latino advocacy CT,websearch_2026_hr_world
MALDEF Los Angeles - Los Angeles,President,info@maldef.org,+1 213-629-3100,maldef.org,2,Human Rights,USA,Mexican American legal CT,websearch_2026_hr_world
Asian Law Caucus San Francisco - San Francisco,Director,info@asianlawcaucus.org,+1 415-848-3100,asianlawcaucus.org,2,Human Rights,USA,Asian legal CT,websearch_2026_hr_world
