"Company","Type","Tier","Contact Name","Email","Phone","Website","Vertical","Check Size","Pitch Angle","Next Action","Notes"
"Cognition","Technology","2","","","+1 201-474-5805","https://cognition.ai","USA","","","Send intro email","HQ: San Francisco, CA (1875 Mission St); Devin AI agent; contact via cognition.com/contact"
"Fireworks AI","Technology","2","","press@fireworks.ai","+1 650-870-7981","https://fireworks.ai","USA","","","Send intro email","HQ: Redwood City, CA (2317 Broadway St); AI inference"
"Together AI","Technology","2","","support@together.ai, sales@together.ai, press@together.ai","","https://www.together.ai","USA","","","Send intro email","HQ: San Francisco, CA (251 Rhode Island St); AI Native Cloud"
"Modal","Technology","2","","support@modal.com, press@modal.com","","https://modal.com","USA","","","Send intro email","HQ: New York, NY (222 Broadway) + SF; AI infrastructure"
"Anduril Industries","Technology","2","","contact@anduril.com","+1 949-891-1607","https://www.anduril.com","USA","","","Send intro email","HQ: Costa Mesa, CA (1400 Anduril); AI defense; also GSA@anduril.com"
"Shield AI","Technology","2","","media@shield.ai","+1 619-719-5740","https://shield.ai","USA","","","Send intro email","HQ: San Diego, CA (600 W Broadway); AI defense aviation"
"Recursion","Technology","2","","info@recursion.com","+1 385-269-0203","https://www.recursion.com","USA","","","Send intro email","HQ: Salt Lake City, UT (41 S Rio Grande St); AI drug discovery"
"Tempus AI","Technology","2","","support@tempus.com, investorrelations@tempus.com","+1 800-976-5448","https://www.tempus.com","USA","","","Send intro email","HQ: Chicago, IL (600 W Chicago Ave); precision medicine AI"
"CoreWeave","Technology","2","","press@coreweave.com","+1 201-256-1436","https://www.coreweave.com","USA","","","Send intro email","HQ: Livingston, NJ (290 W Mt Pleasant Ave); AI hyperscaler"
"Lambda","Technology","2","","enterprise@lambdalabs.com","+1 866-711-2025","https://lambda.ai","USA","","","Send intro email","HQ: San Jose, CA (2510 Zanker Rd); GPU cloud/AI compute"
"Pinecone","Technology","2","","info@pinecone.io","+1 415-310-8355","https://www.pinecone.io","USA","","","Send intro email","HQ: New York, NY (1375 Broadway); vector database"
"Baseten","Technology","2","","hi@baseten.co","+1 510-396-9318","https://baseten.co","USA","","","Send intro email","HQ: San Francisco, CA (201 Spear St); AI inference infrastructure"
"Luma AI","Technology","2","","support@lumalabs.ai, hello@lumalabs.ai","+1 816-844-1759","https://lumalabs.ai","USA","","","Send intro email","HQ: Palo Alto, CA (444 High St); Dream Machine world models"
"Descript","Technology","2","","support@descript.com, press@descript.com","+1 415-231-7449","https://www.descript.com","USA","","","Send intro email","HQ: San Francisco, CA (385 Grove St); AI video/podcast editor"
"Hippocratic AI","Technology","2","","press@hippocraticai.com","+1 917-767-2400","https://hippocraticai.com","USA","","","Send intro email","HQ: Palo Alto, CA; healthcare GenAI agents"
"Deepgram","Technology","2","","press@deepgram.com, support@deepgram.com","+1 415-255-5649","https://deepgram.com","USA","","","Send intro email","HQ: San Francisco, CA (548 Market St); speech AI"
"Inflection AI","Technology","2","","contact@inflection.ai, press@inflection.ai","+1 650-493-9300","https://inflection.ai","USA","","","Send intro email","HQ: Palo Alto, CA (650 Page Mill Rd); consumer AI (Pi)"
"Notion","Technology","2","","chrome-store-contact@makenotion.com","+1 408-685-0997","https://www.notion.com","USA","","","Send intro email","HQ: San Francisco, CA (685 Market St); Notion AI"
"Vercel","Technology","2","","support@vercel.com, billing@vercel.com","+1 628-285-2220","https://vercel.com","USA","","","Send intro email","HQ: San Francisco, CA; v0 AI web builder"
"Safe Superintelligence (SSI)","Technology","2","","comms@ssi.inc","","https://ssi.inc","USA","","","Send intro email","HQ: Palo Alto, CA (317 University Ave); Ilya Sutskever lab"
"Figure AI","Technology","2","","info@figure.ai, privacy@figure.ai","+1 914-588-1821","https://www.figure.ai","USA","","","Send intro email","HQ: Sunnyvale, CA (1247 Elko Dr); humanoid robotics"
"Thinking Machines Lab","Technology","2","","","","https://thinkingmachines.ai","USA","","","Send intro email","HQ: San Francisco, CA (2300 Harrison St); Mira Murati lab; contact via site"
"Sierra","Technology","2","","","","https://sierra.ai","USA","","","Send intro email","HQ: San Francisco, CA; Bret Taylor AI agents; contact via sierra.ai/about"
